speaker,final_accumulative_sentiment,final_average_sentiment
lyanna mormont,6.387477159500122,1.0
harry,-0.8735965490341187,-0.2
marei,6.047602534294129,0.3333333333333333
dirah,-8.450395345687866,-0.6666666666666666
crayah,3.7553790807724,0.14285714285714285
daenerys targaryen,-17.545839443802834,-0.0891089108910891
wolkan,16.40158301591873,0.6
teela,0.013589978218078613,0.0
lyanna,25.10583670437336,0.2972972972972973
podrick,2.0465122759342194,-0.044585987261146494
willa,7.422971487045288,1.0
sarra,2.426058053970337,1.0
tormund,-105.2331038042903,-0.22641509433962265
gilly,-86.67207739502192,-0.1457286432160804
euron,20.989939130842686,0.02564102564102564
varys,-18.565440580248833,-0.05154639175257732
qyburn,44.68643927201629,0.08771929824561403
missandei,49.7413724064827,0.053763440860215055
edmure,6.251504600048065,-0.08333333333333333
yohn royce,12.003641724586487,0.4
yara,12.767684526741505,0.0
gendry,-113.51102602481842,-0.24242424242424243
grey worm,-60.412142753601074,-0.22807017543859648
davos,41.694620518013835,-0.005940594059405941
sam,13.813296735286713,-0.012468827930174564
brienne,-122.38762630522251,-0.15873015873015872
bronn,-88.09215227514505,-0.07160493827160494
